,Unnamed: 0,행정동,경도,위도,subway_최소거리(m),500m지하철역개수,bus_최소거리(m),500m버스정류장개수,badplace_최소거리(m),500m술집개수,parking_최소거리(m),500내주차장개수,300m보호구역여부,200m위험구역여부
1526,1526,중곡4동,127.101101609743,37.5610631475068,1093.42665962243,0,568.233377678053,2,675.931869484235,0,561.88814207505,0,0,0
1527,1527,중곡4동,127.10109680416,37.56196448286391,1152.23944465277,0,562.809761160637,2,716.386398223092,0,555.930565724052,0,0,0
1528,1528,중곡4동,127.101091998363,37.5628658180825,1211.22137360478,0,563.867734689501,1,759.513952829492,0,556.530011789703,0,0,0
1529,1529,중곡4동,127.101087192352,37.5637671531627,1270.34888452706,0,571.371289682785,1,804.884964079487,0,563.665555823194,0,0,0
1530,1530,중곡4동,127.101082386127,37.5646684881044,1329.60255328505,0,585.072480009333,0,852.141155203241,0,577.094795124408,0,0,0
1531,1531,중곡4동,127.101077579688,37.5655698229076,1388.96623212439,0,604.550068281135,0,900.985942051014,0,596.392722541632,0,0,0
1532,1532,중곡4동,127.101072773035,37.5664711575724,1448.42639285771,0,629.267891689072,0,951.174620037789,0,621.012466781514,0,0,0
1533,1533,중곡4동,127.101067966167,37.5673724920986,1507.97162061757,0,658.636230772693,0,1002.50536793829,0,650.34991352186,0,0,0
1534,1534,중곡4동,127.101063159086,37.5682738264864,1567.59221975152,0,692.063287744097,0,1054.81146507494,0,683.798107717219,0,0,0
1535,1535,중곡4동,127.10105835179,37.5691751607357,1627.2799041042,0,728.990948531526,0,1107.95477993895,0,720.784991836893,0,0,0
1536,1536,중곡4동,127.10105354428,37.5700764948465,1687.02755148579,0,768.915018154889,0,1161.82042916122,0,760.794624916166,0,0,0
1537,1537,중곡4동,127.101048736556,37.5709778288188,1746.82900742869,0,811.393304636526,0,1216.31244620303,0,803.375514255853,0,0,0
1538,1538,중곡4동,127.101043928618,37.5718791626526,1806.67892712886,0,856.045656660585,0,1271.35029010811,0,848.140475111884,0,0,0
1539,1539,중곡4동,127.101039120465,37.572780496348,1866.57264721507,0,902.549452299702,0,1326.86603844882,0,894.761756793199,0,0,0
1540,1540,구의3동,127.102377512852,37.5340268387245,768.783840813288,0,506.39822585165695,0,575.844543088439,0,836.344543373201,0,0,0
1541,1541,구의3동,127.102372727309,37.5349281783588,709.341583495101,0,452.741658057945,0,554.343503700758,0,776.086695126441,0,0,0
1542,1542,광장동,127.102367941552,37.5358295178548,650.100243513273,0,401.04642650626494,0,528.253459838332,2,715.874669512128,0,0,0
1543,1543,광장동,127.102363155582,37.5367308572123,591.120226176763,0,352.177283817889,2,493.277383536014,2,655.721085369561,0,0,0
