법정동코드,주소,새주소-도로명,유무료,경도,위도,법정동명
10500,서울특별시 광진구 자양동 579 우성아파트,뚝섬로,유료,127.075833,37.533992,자양동
10500,서울특별시 광진구 자양동 579 우성아파트,뚝섬로,유료,127.075838,37.534023,자양동
10500,서울특별시 광진구 자양동 794-7,자양번영로12길,유료,127.076956,37.537221,자양동
10500,서울특별시 광진구 자양동 461-3,뚝섬로40길,유료,127.082513,37.527702,자양동
10500,서울특별시 광진구 자양동 579 우성아파트,뚝섬로,유료,127.075827,37.533942,자양동
10500,서울특별시 광진구 자양동 227-1,아차산로,유료,127.076922,37.537102,자양동
10300,서울특별시 광진구 구의동 596-5 광성빌딩,뚝섬로,유료,127.091566,37.533883,구의동
10500,서울특별시 광진구 자양동 578 자양우성4차아파트,자양번영로,유료,127.07625,37.535335,자양동
10300,서울특별시 광진구 구의동 596-5 광성빌딩,뚝섬로,유료,127.091566,37.533883,구의동
10500,서울특별시 광진구 자양동 5088 180-4,도로명주소없음,유료,127.061283,37.533805,자양동
10500,서울특별시 광진구 자양4동 816-97,도로명주소없음,유료,127.061313,37.533731,자양동
10500,서울특별시 광진구 자양4동 816-97,도로명주소없음,유료,127.06136,37.533666,자양동
10500,서울특별시 광진구 자양4동 816-97,도로명주소없음,유료,127.061407,37.533611,자양동
10500,서울특별시 광진구 자양4동 180-12,도로명주소없음,유료,127.061451,37.533558,자양동
10500,서울특별시 광진구 자양4동 161-6,도로명주소없음,유료,127.061498,37.533502,자양동
10500,서울특별시 광진구 자양4동 161-6,도로명주소없음,유료,127.061529,37.533453,자양동
10500,서울특별시 광진구 자양4동 161-6,도로명주소없음,유료,127.061562,37.533414,자양동
10500,서울특별시 광진구 자양4동 161-1,도로명주소없음,유료,127.061605,37.533368,자양동
10500,서울특별시 광진구 자양4동 161-1,도로명주소없음,유료,127.06164,37.53332,자양동
10500,서울특별시 광진구 자양동 712-3,도로명주소없음,유료,127.075891,37.534249,자양동
10500,서울특별시 광진구 자양2동 758,도로명주소없음,유료,127.082839,37.527717,자양동
10500,서울특별시 광진구 자양동 462-4,뚝섬로40길,유료,127.082427,37.52769,자양동
10500,서울특별시 광진구 자양동 789 자양8차현대홈타운,뚝섬로36길,유료,127.082331,37.527681,자양동
10500,서울특별시 광진구 자양동 581-3 성보빌딩,자양번영로,유료,127.082267,37.527698,자양동
10500,서울특별시 광진구 자양동 520-2 우성아파트,뚝섬로,유료,127.082197,37.527702,자양동
10500,서울특별시 광진구 자양동 806-9 space 66,자양번영로,유료,127.076424,37.535339,자양동
10500,서울특별시 광진구 자양동 227-1,아차산로,유료,127.076742,37.536322,자양동
10500,서울특별시 광진구 자양동 227-1,아차산로,유료,127.076764,37.536365,자양동
10100,서울특별시 광진구 중곡동 133-10,도로명주소없음,유료,127.084,37.556402,중곡동
10100,서울특별시 광진구 중곡동 143-70,용마산로8마길,유료,127.090848,37.561311,중곡동
10100,서울특별시 광진구 중곡동 87-14,영화사로5길,유료,127.091839,37.557057,중곡동
10100,서울특별시 광진구 중곡동 69-2,용마산로8길,유료,127.092091,37.55921,중곡동
10100,서울특별시 광진구 중곡동 684,동일로76가길,유료,127.079924,37.568681,중곡동
10100,서울특별시 광진구 중곡동 195-1,용마산로33길,유료,127.084697,37.569931,중곡동
